2025-10-08 16:12:20  字母: Z  置信度: 0.3278
2025-10-08 16:12:23  字母: O  置信度: 0.9172
2025-10-08 16:12:25  字母: Q  置信度: 0.4724
2025-10-08 16:12:26  字母: P  置信度: 0.4238
2025-10-08 16:12:27  字母: P  置信度: 0.4469
2025-10-08 16:12:28  字母: O  置信度: 0.5116
2025-10-08 16:12:30  字母: O  置信度: 0.9200
2025-10-08 16:12:32  字母: O  置信度: 0.7364
2025-10-08 16:12:52  字母: S  置信度: 0.5282
2025-10-08 16:12:56  字母: T  置信度: 0.8634
2025-10-08 16:12:58  字母: T  置信度: 0.4148
2025-10-08 16:12:58  字母: S  置信度: 0.5404
2025-10-08 16:13:00  字母: P  置信度: 0.8991
2025-10-08 16:13:07  字母: Q  置信度: 0.6092
2025-10-08 16:13:08  字母: O  置信度: 0.9042
2025-10-08 16:13:39  字母: Z  置信度: 0.8996
2025-10-08 16:30:06  字母: C  置信度: 0.8804  处理时间: 109.0ms
2025-10-08 16:30:10  字母: C  置信度: 0.9412  处理时间: 85.6ms
2025-10-08 16:30:12  字母: J  置信度: 0.6001  处理时间: 92.3ms
2025-10-08 16:30:34  字母: Z  置信度: 0.2944  处理时间: 95.1ms
2025-10-08 16:30:36  字母: U  置信度: 0.1868  处理时间: 85.7ms
2025-10-08 16:30:40  字母: K  置信度: 0.5965  处理时间: 89.6ms
2025-10-08 16:32:04  字母: P  置信度: 0.5394  处理时间: 113.5ms
2025-10-08 16:32:08  字母: P  置信度: 0.9892  处理时间: 90.4ms
2025-10-08 16:32:12  字母: P  置信度: 0.8115  处理时间: 96.6ms
2025-10-08 16:32:16  字母: Q  置信度: 0.8571  处理时间: 108.3ms
2025-10-08 16:32:20  字母: Q  置信度: 0.9877  处理时间: 96.2ms
2025-10-08 16:32:24  字母: R  置信度: 0.6682  处理时间: 112.3ms
2025-10-08 16:32:28  字母: J  置信度: 0.3629  处理时间: 89.0ms
2025-10-08 16:32:30  字母: J  置信度: 0.3093  处理时间: 87.2ms
2025-10-08 16:32:35  字母: U  置信度: 0.2950  处理时间: 167.8ms
2025-10-08 16:32:36  字母: I  置信度: 0.4925  处理时间: 78.0ms
2025-10-08 16:32:38  字母: R  置信度: 0.8911  处理时间: 95.0ms
2025-10-08 16:32:42  字母: R  置信度: 0.8719  处理时间: 87.9ms
2025-10-08 16:32:46  字母: R  置信度: 0.5283  处理时间: 82.1ms
2025-10-08 16:32:48  字母: R  置信度: 0.2444  处理时间: 80.1ms
2025-10-08 16:32:52  字母: M  置信度: 0.1772  处理时间: 92.4ms
2025-10-08 16:32:56  字母: U  置信度: 0.2712  处理时间: 85.3ms
2025-10-08 16:33:00  字母: I  置信度: 0.2207  处理时间: 85.8ms
2025-10-08 16:33:02  字母: U  置信度: 0.3697  处理时间: 125.4ms
2025-10-08 16:33:06  字母: P  置信度: 0.3385  处理时间: 86.4ms
2025-10-08 16:33:14  字母: L  置信度: 0.2382  处理时间: 101.1ms
2025-10-08 16:33:18  字母: Y  置信度: 0.3060  处理时间: 131.4ms
2025-10-08 16:33:22  字母: L  置信度: 0.3931  处理时间: 88.8ms
2025-10-08 16:33:26  字母: Y  置信度: 0.5105  处理时间: 77.0ms
2025-10-08 16:34:28  字母: F  置信度: 0.7487  处理时间: 109.5ms
2025-10-08 16:34:32  字母: D  置信度: 0.4251  处理时间: 84.6ms
2025-10-08 16:34:34  字母: D  置信度: 0.9737  处理时间: 89.6ms
2025-10-08 16:34:38  字母: D  置信度: 0.4103  处理时间: 103.0ms
2025-10-08 16:34:40  字母: Q  置信度: 0.4997  处理时间: 88.1ms
2025-10-09 21:22:30  字母: Z  置信度: 0.9597  处理时间: 190.1ms
2025-10-09 21:22:52  字母: C  置信度: 0.8777  处理时间: 183.6ms
2025-10-09 21:22:56  字母: C  置信度: 0.6886  处理时间: 159.2ms
